Index;Huisnr;Postcode;Plaats;Objective 1;Objective 2;
1;2;3;1;0.33333333333333326;868.0;
2;1;3;1;0.16666666666666663;121.0;
3;1;3;1;0.16666666666666663;121.0;
4;2;3;2;0.6666666666666666;876.0;
5;2;3;1;0.33333333333333326;868.0;
6;2;3;1;0.33333333333333326;868.0;
7;2;3;1;0.33333333333333326;868.0;
8;2;3;1;0.33333333333333326;868.0;
9;2;3;2;0.6666666666666666;876.0;
10;2;3;2;0.6666666666666666;876.0;
11;2;3;1;0.33333333333333326;868.0;
12;1;3;1;0.16666666666666663;121.0;
13;2;3;1;0.33333333333333326;868.0;
14;2;3;1;0.33333333333333326;868.0;
15;2;3;2;0.6666666666666666;876.0;
16;2;3;2;0.6666666666666666;876.0;
17;2;3;1;0.33333333333333326;868.0;
18;2;3;2;0.6666666666666666;876.0;
19;1;3;1;0.16666666666666663;121.0;
20;2;3;2;0.6666666666666666;876.0;
21;2;3;1;0.33333333333333326;868.0;
22;2;3;2;0.6666666666666666;876.0;
23;2;3;2;0.6666666666666666;876.0;
24;2;3;2;0.6666666666666666;876.0;
25;2;3;1;0.33333333333333326;868.0;
26;2;3;2;0.6666666666666666;876.0;
27;2;3;1;0.33333333333333326;868.0;
28;2;3;1;0.33333333333333326;868.0;
29;2;3;1;0.33333333333333326;868.0;
30;2;3;2;0.6666666666666666;876.0;
31;2;3;1;0.33333333333333326;868.0;
32;1;3;1;0.16666666666666663;121.0;
33;2;3;2;0.6666666666666666;876.0;
34;2;3;2;0.6666666666666666;876.0;
35;2;3;2;0.6666666666666666;876.0;
36;2;3;2;0.6666666666666666;876.0;
37;2;3;1;0.33333333333333326;868.0;
38;2;3;2;0.6666666666666666;876.0;
39;1;3;1;0.16666666666666663;121.0;
40;2;3;1;0.33333333333333326;868.0;
41;2;3;2;0.6666666666666666;876.0;
42;2;3;2;0.6666666666666666;876.0;
43;2;3;1;0.33333333333333326;868.0;
44;2;3;1;0.33333333333333326;868.0;
45;2;3;2;0.6666666666666666;876.0;
46;2;3;1;0.33333333333333326;868.0;
47;1;3;1;0.16666666666666663;121.0;
48;2;3;1;0.33333333333333326;868.0;
49;2;3;2;0.6666666666666666;876.0;
50;2;3;1;0.33333333333333326;868.0;
51;1;3;1;0.16666666666666663;121.0;
52;1;3;1;0.16666666666666663;121.0;
53;2;3;1;0.33333333333333326;868.0;
54;1;3;1;0.16666666666666663;121.0;
55;2;3;1;0.33333333333333326;868.0;
56;2;3;1;0.33333333333333326;868.0;
57;2;3;1;0.33333333333333326;868.0;
58;2;3;2;0.6666666666666666;876.0;
59;2;3;2;0.6666666666666666;876.0;
60;1;3;1;0.16666666666666663;121.0;
61;2;3;1;0.33333333333333326;868.0;
62;2;3;2;0.6666666666666666;876.0;
63;2;3;1;0.33333333333333326;868.0;
64;2;3;2;0.6666666666666666;876.0;
65;1;3;1;0.16666666666666663;121.0;
66;2;3;2;0.6666666666666666;876.0;
67;1;3;1;0.16666666666666663;121.0;
68;1;3;1;0.16666666666666663;121.0;
69;2;3;1;0.33333333333333326;868.0;
70;2;3;1;0.33333333333333326;868.0;
71;1;3;1;0.16666666666666663;121.0;
72;1;3;1;0.16666666666666663;121.0;
73;2;3;1;0.33333333333333326;868.0;
74;2;3;2;0.6666666666666666;876.0;
75;2;3;2;0.6666666666666666;876.0;
76;2;3;1;0.33333333333333326;868.0;
77;1;3;1;0.16666666666666663;121.0;
78;2;3;2;0.6666666666666666;876.0;
79;2;3;2;0.6666666666666666;876.0;
80;2;3;1;0.33333333333333326;868.0;
81;2;3;2;0.6666666666666666;876.0;
82;2;3;2;0.6666666666666666;876.0;
83;1;3;1;0.16666666666666663;121.0;
84;2;3;2;0.6666666666666666;876.0;
85;2;3;2;0.6666666666666666;876.0;
86;2;3;1;0.33333333333333326;868.0;
87;2;3;1;0.33333333333333326;868.0;
88;2;3;2;0.6666666666666666;876.0;
89;2;3;2;0.6666666666666666;876.0;
90;1;3;1;0.16666666666666663;121.0;
91;2;3;1;0.33333333333333326;868.0;
92;2;3;1;0.33333333333333326;868.0;
93;1;3;1;0.16666666666666663;121.0;
94;1;3;1;0.16666666666666663;121.0;
95;1;3;1;0.16666666666666663;121.0;
96;2;3;1;0.33333333333333326;868.0;
97;2;3;2;0.6666666666666666;876.0;
98;1;3;1;0.16666666666666663;121.0;
99;2;3;1;0.33333333333333326;868.0;
100;1;3;1;0.16666666666666663;121.0;
