Index;Huisnr;Postcode;Plaats;Objective 1;Objective 2;
1;2;3;2;0.6666666666666666;876.0;
2;0;4;1;0.08333333333333337;7.0;
3;2;3;2;0.6666666666666666;876.0;
4;1;3;1;0.16666666666666663;121.0;
5;2;3;2;0.6666666666666666;876.0;
6;2;3;2;0.6666666666666666;876.0;
7;0;4;1;0.08333333333333337;7.0;
8;1;3;1;0.16666666666666663;121.0;
9;0;4;1;0.08333333333333337;7.0;
10;2;3;2;0.6666666666666666;876.0;
11;0;4;1;0.08333333333333337;7.0;
12;1;3;1;0.16666666666666663;121.0;
13;2;3;2;0.6666666666666666;876.0;
14;1;3;1;0.16666666666666663;121.0;
15;1;3;1;0.16666666666666663;121.0;
16;2;3;1;0.33333333333333326;868.0;
17;1;3;1;0.16666666666666663;121.0;
18;2;3;2;0.6666666666666666;876.0;
19;0;4;1;0.08333333333333337;7.0;
20;1;3;1;0.16666666666666663;121.0;
21;2;3;1;0.33333333333333326;868.0;
22;2;3;2;0.6666666666666666;876.0;
23;0;4;1;0.08333333333333337;7.0;
24;2;3;2;0.6666666666666666;876.0;
25;2;3;1;0.33333333333333326;868.0;
26;2;3;1;0.33333333333333326;868.0;
27;2;3;2;0.6666666666666666;876.0;
28;2;3;2;0.6666666666666666;876.0;
29;2;3;2;0.6666666666666666;876.0;
30;2;3;1;0.33333333333333326;868.0;
31;1;3;1;0.16666666666666663;121.0;
32;0;4;1;0.08333333333333337;7.0;
33;1;3;1;0.16666666666666663;121.0;
34;2;3;1;0.33333333333333326;868.0;
35;2;3;1;0.33333333333333326;868.0;
36;2;3;1;0.33333333333333326;868.0;
37;2;3;1;0.33333333333333326;868.0;
38;1;3;1;0.16666666666666663;121.0;
39;2;3;1;0.33333333333333326;868.0;
40;2;3;2;0.6666666666666666;876.0;
41;0;4;1;0.08333333333333337;7.0;
42;2;3;2;0.6666666666666666;876.0;
43;2;3;2;0.6666666666666666;876.0;
44;2;3;2;0.6666666666666666;876.0;
45;2;3;2;0.6666666666666666;876.0;
46;1;3;1;0.16666666666666663;121.0;
47;2;3;1;0.33333333333333326;868.0;
48;2;3;1;0.33333333333333326;868.0;
49;0;4;1;0.08333333333333337;7.0;
50;2;3;2;0.6666666666666666;876.0;
51;1;3;1;0.16666666666666663;121.0;
52;2;3;1;0.33333333333333326;868.0;
53;2;3;1;0.33333333333333326;868.0;
54;2;3;2;0.6666666666666666;876.0;
55;2;3;2;0.6666666666666666;876.0;
56;2;3;1;0.33333333333333326;868.0;
57;2;3;2;0.6666666666666666;876.0;
58;1;3;1;0.16666666666666663;121.0;
59;2;3;1;0.33333333333333326;868.0;
60;2;3;1;0.33333333333333326;868.0;
61;0;4;1;0.08333333333333337;7.0;
62;2;3;2;0.6666666666666666;876.0;
63;2;3;1;0.33333333333333326;868.0;
64;2;3;1;0.33333333333333326;868.0;
65;1;3;1;0.16666666666666663;121.0;
66;0;4;1;0.08333333333333337;7.0;
67;2;3;1;0.33333333333333326;868.0;
68;1;3;1;0.16666666666666663;121.0;
69;1;3;1;0.16666666666666663;121.0;
70;0;4;1;0.08333333333333337;7.0;
71;1;3;1;0.16666666666666663;121.0;
72;2;3;2;0.6666666666666666;876.0;
73;2;3;2;0.6666666666666666;876.0;
74;2;3;2;0.6666666666666666;876.0;
75;2;3;1;0.33333333333333326;868.0;
76;2;3;1;0.33333333333333326;868.0;
77;2;3;2;0.6666666666666666;876.0;
78;1;3;1;0.16666666666666663;121.0;
79;1;3;1;0.16666666666666663;121.0;
80;2;3;1;0.33333333333333326;868.0;
81;2;3;2;0.6666666666666666;876.0;
82;0;4;1;0.08333333333333337;7.0;
83;2;3;1;0.33333333333333326;868.0;
84;1;3;1;0.16666666666666663;121.0;
85;2;3;1;0.33333333333333326;868.0;
86;0;4;1;0.08333333333333337;7.0;
87;2;3;2;0.6666666666666666;876.0;
88;2;3;1;0.33333333333333326;868.0;
89;2;3;2;0.6666666666666666;876.0;
90;2;3;2;0.6666666666666666;876.0;
91;1;3;1;0.16666666666666663;121.0;
92;1;3;1;0.16666666666666663;121.0;
93;2;3;2;0.6666666666666666;876.0;
94;2;3;1;0.33333333333333326;868.0;
95;1;3;1;0.16666666666666663;121.0;
96;2;3;2;0.6666666666666666;876.0;
97;2;3;2;0.6666666666666666;876.0;
98;1;3;1;0.16666666666666663;121.0;
99;2;3;1;0.33333333333333326;868.0;
100;2;3;2;0.6666666666666666;876.0;
