Index;Huisnr;Postcode;Plaats;Objective 1;Objective 2;
1;2;3;2;0.6666666666666666;876.0;
2;2;3;1;0.33333333333333326;868.0;
3;1;3;1;0.16666666666666663;121.0;
4;2;3;2;0.6666666666666666;876.0;
5;2;3;2;0.6666666666666666;876.0;
6;2;3;1;0.33333333333333326;868.0;
7;2;3;1;0.33333333333333326;868.0;
8;2;3;2;0.6666666666666666;876.0;
9;2;3;1;0.33333333333333326;868.0;
10;2;3;2;0.6666666666666666;876.0;
11;1;3;1;0.16666666666666663;121.0;
12;2;3;2;0.6666666666666666;876.0;
13;2;3;2;0.6666666666666666;876.0;
14;1;3;1;0.16666666666666663;121.0;
15;0;3;1;0.0;7.0;
16;2;3;2;0.6666666666666666;876.0;
17;2;3;1;0.33333333333333326;868.0;
18;2;3;2;0.6666666666666666;876.0;
19;0;3;1;0.0;7.0;
20;2;3;2;0.6666666666666666;876.0;
21;2;3;2;0.6666666666666666;876.0;
22;0;3;1;0.0;7.0;
23;2;3;1;0.33333333333333326;868.0;
24;0;3;1;0.0;7.0;
25;1;3;1;0.16666666666666663;121.0;
26;2;3;1;0.33333333333333326;868.0;
27;2;3;2;0.6666666666666666;876.0;
28;2;3;1;0.33333333333333326;868.0;
29;2;3;1;0.33333333333333326;868.0;
30;0;3;1;0.0;7.0;
31;2;3;2;0.6666666666666666;876.0;
32;2;3;1;0.33333333333333326;868.0;
33;2;3;1;0.33333333333333326;868.0;
34;0;3;1;0.0;7.0;
35;2;3;1;0.33333333333333326;868.0;
36;2;3;2;0.6666666666666666;876.0;
37;1;3;1;0.16666666666666663;121.0;
38;2;3;2;0.6666666666666666;876.0;
39;2;3;2;0.6666666666666666;876.0;
40;2;3;1;0.33333333333333326;868.0;
41;0;3;1;0.0;7.0;
42;1;3;1;0.16666666666666663;121.0;
43;1;3;1;0.16666666666666663;121.0;
44;0;3;1;0.0;7.0;
45;2;3;2;0.6666666666666666;876.0;
46;2;3;2;0.6666666666666666;876.0;
47;2;3;1;0.33333333333333326;868.0;
48;2;3;2;0.6666666666666666;876.0;
49;1;3;1;0.16666666666666663;121.0;
50;1;3;1;0.16666666666666663;121.0;
51;2;3;1;0.33333333333333326;868.0;
52;2;3;1;0.33333333333333326;868.0;
53;2;3;1;0.33333333333333326;868.0;
54;2;3;1;0.33333333333333326;868.0;
55;0;3;1;0.0;7.0;
56;0;3;1;0.0;7.0;
57;0;3;1;0.0;7.0;
58;2;3;1;0.33333333333333326;868.0;
59;2;3;1;0.33333333333333326;868.0;
60;2;3;2;0.6666666666666666;876.0;
61;2;3;1;0.33333333333333326;868.0;
62;2;3;2;0.6666666666666666;876.0;
63;2;3;2;0.6666666666666666;876.0;
64;2;3;2;0.6666666666666666;876.0;
65;2;3;2;0.6666666666666666;876.0;
66;2;3;1;0.33333333333333326;868.0;
67;2;3;2;0.6666666666666666;876.0;
68;2;3;2;0.6666666666666666;876.0;
69;1;3;1;0.16666666666666663;121.0;
70;0;3;1;0.0;7.0;
71;0;3;1;0.0;7.0;
72;2;3;2;0.6666666666666666;876.0;
73;1;3;1;0.16666666666666663;121.0;
74;1;3;1;0.16666666666666663;121.0;
75;1;3;1;0.16666666666666663;121.0;
76;2;3;1;0.33333333333333326;868.0;
77;2;3;2;0.6666666666666666;876.0;
78;2;3;2;0.6666666666666666;876.0;
79;2;3;1;0.33333333333333326;868.0;
80;1;3;1;0.16666666666666663;121.0;
81;1;3;1;0.16666666666666663;121.0;
82;1;3;1;0.16666666666666663;121.0;
83;2;3;2;0.6666666666666666;876.0;
84;2;3;1;0.33333333333333326;868.0;
85;2;3;1;0.33333333333333326;868.0;
86;2;3;2;0.6666666666666666;876.0;
87;2;3;1;0.33333333333333326;868.0;
88;1;3;1;0.16666666666666663;121.0;
89;2;3;2;0.6666666666666666;876.0;
90;1;3;1;0.16666666666666663;121.0;
91;2;3;1;0.33333333333333326;868.0;
92;2;3;2;0.6666666666666666;876.0;
93;2;3;1;0.33333333333333326;868.0;
94;1;3;1;0.16666666666666663;121.0;
95;1;3;1;0.16666666666666663;121.0;
96;2;3;1;0.33333333333333326;868.0;
97;0;3;1;0.0;7.0;
98;0;3;1;0.0;7.0;
99;2;3;1;0.33333333333333326;868.0;
100;2;3;2;0.6666666666666666;876.0;
